lambda	lc_Re	lc_Im
-524.0548720927094	0.00012392172386633155	0.0004068383637393224
-523.3707273510739	0.00014830432154603747	0.00020007341624640244
-522.6865826094385	3.5969774000911466e-05	2.4057991194622816e-05
-522.002437867803	-0.0001630337379200674	-4.152962344493614e-05
-521.3182931261675	-0.0003594081034505892	3.3480488140519255e-05
-520.6341483845321	-0.00046472861181899583	0.00021597454863352662
-519.9500036428966	-0.00043131384951122017	0.0004242631461704121
-519.2658589012611	-0.0002738660093854955	0.0005647412624455461
-518.5817141596257	-6.306121080639519e-05	0.0005740490612904866
-517.8975694179902	0.00010611879679356821	0.0004477445452397867
-517.2134246763547	0.00015712461493258288	0.0002425135870549018
-516.5292799347193	6.641730221212795e-05	5.082783159974049e-05
-515.8451351930838	-0.00012573178784938308	-4.06210379907288e-05
-515.1609904514484	-0.0003331724721983855	9.97217723230009e-06
-514.4768457098129	-0.0004625555063995213	0.00018051894180648147
-513.7927009681774	-0.0004553950367402514	0.00039476963572792245
-513.108556226542	-0.00031456156308942414	0.0005564998622525936
-512.4244114849065	-0.00010320562819604854	0.0005928239665089878
-511.74026674327104	8.350040812834272e-05	0.000487139884511062
-511.0561220016356	0.00016115866257347043	0.00028681493341947337
-510.3719772600001	9.423667151606965e-05	8.205737747950232e-05
-509.68783251836464	-8.773755724075525e-05	-3.4602957451720614e-05
-509.0036877767292	-0.00030325631139735686	-1.0025554451550467e-05
-508.3195430350937	-0.00045539577446829823	0.00014544011656972738
-507.63539829345825	-0.0004754612706039901	0.0003623933134615099
-506.9512535518228	-0.0003540613725244733	0.000543461168098774
-506.2671088101873	-0.00014555544984490358	0.0006071013218169399
-505.58296406855186	5.622630701996163e-05	0.0005244245635614258
-504.8988193269164	0.00016014668818246805	0.0003324101496957717
-504.21467458528093	0.00011886313739643755	0.00011747032579752839
-503.53052984364547	-4.966810575353394e-05	-2.3332671909369925e-05
-502.84638510201	-0.00027005184343084464	-2.6011711093199073e-05
-502.16224036037454	-0.00044324020677016644	0.0001113746484046866
